,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
q[0],0.9627835034722196,0.00024107391468813834,0.01043045232701897,0.9401764166822315,0.9560457080762608,0.9635877006146537,0.9702937533859641,0.9801115685535426,1872.0,1.0034695364179318
q[1],0.8155449213205871,0.0004357751837674917,0.01767443118591338,0.7806251437615308,0.8033259044972002,0.8154597799818154,0.8275763099962519,0.8495691169905806,1645.0,0.9999753962364879
q[2],0.7525790456551913,0.00048332999401151964,0.01853745387200031,0.7157523838340045,0.7398267533604381,0.7532645834017506,0.7655408752126025,0.7876569262498758,1471.0,1.0030598349069806
q[3],0.7332601945335739,0.00042384068638136264,0.017516469508843373,0.6977817799904256,0.7220579484721501,0.7333830168322503,0.7448077730478513,0.7670600080190644,1708.0,1.003214855285818
q[4],0.7204747311526029,0.0004384553583047225,0.018679433308465557,0.6840397993978216,0.7073742675445651,0.7209469977828682,0.7333596048365607,0.757475813146528,1815.0,1.0018393876172031
q[5],0.7860614779745535,0.0004831391918057892,0.020600094276522367,0.7448135304664889,0.7719517848848689,0.7866143219828826,0.8002900489778375,0.824856934562032,1818.0,1.001186747220733
q[6],0.9985696974928466,4.176676480394556e-05,0.0021008309034131964,0.9924473224692478,0.9981380919554712,0.9994007269812273,0.9998956655670442,0.9999996365966568,2530.0,1.0005620966904196
q[7],0.8492534219940416,0.0007811310418597113,0.030792815799814844,0.7887604825031124,0.8288013151089753,0.8493041356471935,0.8700438283235425,0.9095116467774895,1554.0,1.0023147668502446
q[8],0.9063100408689659,0.0004051172662590264,0.01831112117860304,0.8690039897676132,0.8943374424516164,0.9069207180031271,0.9190486155625296,0.9402256047333766,2043.0,1.000460869335613
q[9],0.6815766111542,0.0006482106954612085,0.024036295894993207,0.6327265107515443,0.6656061946720779,0.6822082309746472,0.6977163310688212,0.7283384110917484,1375.0,0.9996797765268383
q[10],0.957565645535775,0.0004607185983889032,0.01743440993331451,0.9202993663918659,0.9466981004865953,0.9588071271633272,0.9695378414142877,0.9881867011751364,1432.0,1.0005602178780737
q[11],0.6365074988880969,0.0005352482660491369,0.022544057154635453,0.5916400333876013,0.620993430207964,0.6371800109624087,0.651858676958752,0.6806521305923953,1774.0,1.0011462593077594
